0,1,2,3,label
2.8179286,3.2009127,8.345935,5.651459,0
3.5935068,0.038327362,4.9160175,6.3371634,0
2.4297314,-1.4486514,9.231378,7.5024915,0
2.0877433,-0.60575634,8.434564,6.656804,0
4.434473,0.5978924,7.1937985,7.1182623,0
2.623441,-1.1641649,9.123737,8.074226,0
3.1123939,-0.40923676,4.6080117,6.4463735,0
2.2061617,-1.5877918,8.418741,7.4401064,0
2.327926,3.4896812,8.424172,6.096331,0
2.5805361,0.84001964,8.282298,7.389173,0
3.2993727,-1.2435005,8.199276,7.479756,0
2.3196282,0.3531586,5.384933,5.8126993,0
1.9152225,-1.4955057,6.9054184,7.122512,0
4.389416,0.018732594,7.4434752,6.369929,0
1.9856532,-0.1797088,9.287559,6.4214025,0
2.5240169,3.297674,8.223735,6.315585,0
3.8006542,1.4174871,8.076519,7.698046,0
2.9512815,0.75835156,8.412137,6.389017,0
1.7814739,-0.9389603,8.448335,7.3704133,0
2.600092,0.56470406,8.769773,7.475384,0
2.1247017,-0.097561285,8.736052,6.072915,0
2.5108705,-0.05383159,6.0934005,6.3856835,0
2.0444608,0.3294569,9.650783,7.879402,0
2.4546058,0.028849142,6.713479,6.91966,0
2.356949,-1.5421718,5.5583463,7.31725,0
2.6023312,-1.8275262,8.490857,7.896199,0
2.1080456,-1.5806432,8.612572,7.0085473,0
2.5099769,-0.65441257,7.180567,6.305549,0
2.5222862,-0.78223526,9.541838,6.5338492,0
1.7157297,-0.3234267,7.01648,7.755491,0
2.7540822,-1.2954441,6.746103,7.180383,0
3.8915195,0.7134857,7.7123523,7.34958,0
2.6931357,0.40079728,8.57095,7.667928,0
2.5793993,3.0023556,8.184502,6.5626364,0
2.5627034,3.0391355,8.386759,6.236564,0
1.8584011,-0.8728929,5.1565566,6.672804,0
4.5097175,0.0591983,7.242867,6.436765,0
4.09487,-0.06922606,7.905943,6.6814146,0
3.2907896,-0.2590949,9.270386,6.908985,0
3.0067403,0.58080333,9.036683,7.137886,0
4.0525017,-0.12126847,8.008233,6.21513,0
2.688157,-0.9586096,9.286636,6.282986,0
4.3806286,0.418052,6.1189885,6.6837673,0
